form_main_source;form_main_rain;form_main_wind_direction;form_main_wind_force;form_main_cloud_level;form_main_threats;form_birds_name;form_birds_count_units;form_birds_count_type;form_birds_nesting;form_birds_sex;form_birds_age;form_birds_marking;form_birds_status;form_birds_behaviour;form_birds_death;form_birds_nest_substrate;form_birds_nest_location;form_birds_nest_height;form_birds_nest_position;form_birds_age_individual;form_birds_nest_success;form_herp_name;form_herp_gender;form_herp_age;form_herp_habitat;form_herp_danger_observation;form_cbm_distance;form_cbm_visit_number;form_cbm_sector;form_cbm_habitat;form_ciconia_substratum;form_ciconia_column;form_ciconia_column_type;form_ciconia_tree;form_ciconia_building;form_ciconia_not_occupied;form_ciconia_new_birds
Единични наблюдения;Не вали;E;0 - Безветрие;0-33%;Култивация;Larus cachinnans | Каспийска чайка;individuals;min;Колония;male;Pull;color_ring;Твърде вероятно гнездене;Храни се;Превозно средство;На дървета;Единично дърво;1-3м.;До стъблото;Pull;Pull;Ablepharus kitaibelii | Късокрак гущер;M (мъжки);Ad (Възрастен);1. Светли иглолистни гори с храсталаци;Пожари;1 - (0 - 25 m);E - първо посещение;1;A.1 - Широколисти гори;Стълб;с жици;бетонен;акация(салкъм);покрив на църква;тази година не са идвали въобще;ДВЕ птици
Средно зимно преброяване;Ръми;ENE;1 - Слаб вятър;33-66%;Използване на пестициди;Alectoris sp. | Неопределен кеклик;pairs;max;Гнездо;female;0;metal_ring;Възможно гнездене;Ловува;Отрова;На храсти;Група дървета;3-5м.;На страничен клон;Нулевогодишна;Нулевогодишна;Anguis colchica | Източен слепок;F (женски);Sub (млад, неоловозрял);1.1. гъсти иглолистни гори - култури и други;Сечи;2 - (25 -100 m);L - второ посещение;2;A.2 - Иглолистни гори;Дърво;без жици;железен;бряст;покрив на фурна;появили са се, но после изчезнали;EДНА птица
МОВП;Преваляване;ESE;2 - Лек бриз;66-100%;Наторяване;Accipiter brevipes | Късопръст ястреб;nests;range;;undefined;1;krilometka;Зимуващ;Строеж на гнездо / гнездова камера;Лов;На скали;Окрайнина на гора;5-10м.;На върха;1 годинa;1 годинa;Anguis fragilis | Слепок;;Juv (ювенилен, новоизлюпен);2. смесени гори;Строежи;3 - (100 - 250 m);;3;A.3 - Смесени гори;Покрив;;дървен;бор;покрив на училище;;
Миграция;;N;3 - Слаб вятър;;Напояване;Accipiter gentilis | Голям ястреб;singing_males;exact_number;;;2;transmitrer;Пролетна миграция;Възрастни хранещи малки;Неизвестна;В тръстика;В гора;над 10м.;;2 години;2 години;Bombina bombina | Червенокоремна бумка;;Larve (Ларва);3. силно разредени иглолистни гори с храсталаци;Кариери;f - (птици в полет);;4;A.4 - Алувиални и много влажни гори и храсталаци;Комин;;;върба;покрив на читалище;;
Мониторинг влажни зони;;NE;4 - Умерен вятър;;Паша;Accipiter nisus | Малък ястреб;family_individuals_ad_juv;unspecified_number;;;3;;Сигурно гнездене;Брачни игри / ухажване / копулация;Болест;На земята;;;;3 години;3 години;Bombina variegata | Жълтокоремна бумка;;Eggs (яйца);3.1. поляни, пасища, ливади с разпръснати храсти;Замърсяване;;;5;B.1 - Храсталаци на местата с умерен климат;;;;дъб;покрив на кметство;;
;;NNE;5 - Умерен вятър;;Изоставяне на пасторални системи;Acrocephalus agricola | Индийско шаварче;;;;;4;;Не гнездящ;В полет (РП, ПП, АП);;Дупки в земята;;;;4 години;4 години;Bufo bufo | Кафява крастава жаба;;;4. светли широколистни гори с храсталаци;Бракониери;;;6;B.2 - Сухолюбиви храсталаци;;;;липа;покрив на частна къща;;
;;NNW;6 - Силен вятър;;Реорганизация на селскостопански земи;Acrocephalus arundinaceus | Тръстиково шаварче;;;;;5(6);;Вагрант / скитащ;Нощувка (извън гнездовия период);;На сграда;;;;5(6) години;5(6) години;Caretta caretta | Карета;;;4.1. гъсти широколистни гори;Ветропарк;;;7;B.3 - Стелни и сухолюбиви тревни съобщества по варовити терени;;;;топола;покрив на трафопост;;
;;NW;7 - Доста силен вятър;;Отстраняване на плетове и храсти;Acrocephalus dumetorum | Градинско шаварче;;;;;Imm.;;Неизвестен;Излетели индивиди от местата за нощуване (основно за гъски);;На ел. стълбове;;;;Imm.;Imm.;Chelonia mydas | Зелена морска костенурка;;;5. силно разредени широколистни гори с храсталаци;Соларен парк;;;8;B.4 - Тревни съобщества по сухи силикатни терени;;;;чинар;покрив на фабрика;;
;;S;8 - Много силен вятър;;Животновъдство;Acrocephalus melanopogon | Мустакато шаварче;;;;;Subad;;Есенна миграция;Кацнала (дърво, храст, стълб, на земята);;Друго (свободен текст);;;;Subad;Subad;Coronella austriaca | Медянка;;;6. екотон дървесно-храстова, тревна растителност;Мини ВЕЦ;;;9;B.5 - Алпийски и субалпийски тревни съобщества;;;;черница;покрив на баня;;
;;SE;9 - Щорм;;Хранене на добитък;Acrocephalus paludicola | Водно шаварче;;;;;Juv;;Твърде вероятно гнездене;Представен;;;;;;Juv.;Juv.;Darevskia praticola | Горски гущер;;;7. пасища и ливади без да има наблизо гори или храсти или само с единични такива;Разораване на пасища и мери;;;10;B.6 - Тревни съобщества по влажни терени;;;;сухо;покрив на друга;;
;;SSE;10 - Силен Щорм;;Модифициране на култивационните практики;Acrocephalus palustris | Мочурно шаварче;;;;;Ad;;Възможно гнездене;зимуващ(и);;;;;;Ad.;;Dolichophis caspius | Голям стрелец;;;8. смесица от градини, лозя, пасища, ливади, синури, горички или храсти;Залесяване с нетипични видове;;;;B.7 - Мезофилни тревни съобщества;;;;друго;комин на църква;;
;;SSW;11 - Жесток щорм;;Селскостопански и горскостопански дейности, които не са посочени по-горе;Acrocephalus schoenobaenus | Крайбрежно шаварче;;;;;;;Зимуващ;Храни се / ловува;;;;;;;;Elaphe quatuorlineata | Ивичест смок (кощерица);;;9. интензивни овощни градини и лозя - лишени от тревно покритие;Прекомерно обрастване на пасища;;;;C.1 - Подобрени тревни площи;;;;… (свободен текст);комин на фурна;;
;;SW;12 - Ураган;;Залесяване;Acrocephalus scirpaceus | Блатно шаварче;;;;;;;Пролетна миграция;Брачни игри, ухажване;;;;;;;;Elaphe sauromates | Пъстър смок;;;10. скални местообитания;Пресъхващи водни тела;;;;C.2 - Посеви и други тревни култури;;;;;комин на училище;;
